Document Name,Document Title,Document Public Url
11 of 1957 (E).pdf,"THE KARNATAKA CONTINGENCY FUND ACT, 1957",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/11%20of%201957%20%28E%29.pdf
"THE SAHYADRI HERITAGE DEVELOPMENT AUTHORITY ACT, 2011-ENG.pdf","THE SAHYADRI HERITAGE DEVELOPMENT AUTHORITY ACT, 2011",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20SAHYADRI%20HERITAGE%20DEVELOPMENT%20AUTHORITY%20ACT%2C%202011-ENG.pdf
"THE KARNATAKA JANAPADA VISHWAVIDYALAYA ACT, 2011-ENG.pdf","THE KARNATAKA JANAPADA VISHWAVIDYALAYA ACT, 2011",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20JANAPADA%20VISHWAVIDYALAYA%20ACT%2C%202011-ENG.pdf
"THE KARNATAKA SCHEDULED CASTES, SCHEDULED TRIBES AND...ETC 1990-ENG.pdf","THE KARNATAKA SCHEDULED CASTES, SCHEDULED TRIBES AND OTHER BACKWARD CLASSES (RESERVATION OF APPOINTMENT ETC) ACT, 1990",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20SCHEDULED%20CASTES%2C%20SCHEDULED%20TRIBES%20AND...ETC%201990-ENG.pdf
"THE KARNATAKA SMALL CAUSE COURTS ACT, 1964-ENG.pdf","THE KARNATAKA SMALL CAUSE COURTS ACT, 1964",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20SMALL%20CAUSE%20COURTS%20ACT%2C%201964-ENG.pdf
"THE KARNATAKA (SANDUR AREA) INAMS ABOLITION ACT, 1976-ENG.pdf","THE KARNATAKA (SANDUR AREA) INAMS ABOLITION ACT, 1976",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20%28SANDUR%20AREA%29%20INAMS%20ABOLITION%20ACT%2C%201976-ENG.pdf
42 of 1964 (E).pdf,"THE KARNATAKA FIRE FORCE ACT, 1964",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/42%20of%201964%20%28E%29.pdf
THE KARNATAKA REGULATION OF PAY AND PENSION OF TEACHER IN...ETC 2020-ENG.pdf,"THE KARNATAKA REGULATION OF PAY AND PENSION OF TEACHER IN HIGHER EDUCATIONAL INSTITUTIONS ACT, 2020",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20REGULATION%20OF%20PAY%20AND%20PENSION%20OF%20TEACHER%20IN...ETC%202020-ENG.pdf
THE KARNATAKA STATE CIVIL SERVICES (REGULATION OF TRANSFER OF....ETC 2007-ENG.pdf,"THE KARNATAKA STATE CIVIL SERVICES (REGULATION OF TRANSFER OF TEACHERS) ACT, 2007",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20STATE%20CIVIL%20SERVICES%20%28REGULATION%20OF%20TRANSFER%20OF....ETC%202007-ENG.pdf
"THE KARNATAKA KRISHNA BASIN DEVELOPMENT AUTHORITY (REPEAL)ACT, 2021-ENG.pdf","THE KARNATAKA KRISHNA BASIN DEVELOPMENT AUTHORITY (REPEAL) ACT, 2021",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20KRISHNA%20BASIN%20DEVELOPMENT%20AUTHORITY%20%28REPEAL%29ACT%2C%202021-ENG.pdf
